id,teamId,league,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,banner,footer_banner
1281471,758644748,Magtus,Colts,IND,Indianapolis,AFC,15,AFC South,1,9,Colts,2,85,78697,16777215,BORRELI55,3,0,1,2025,749207552,4,0,2,280400000,2700000,277700000,1192,2,691,31,1883,9,753795074,0,AFC South,0,2,1,0,1,-10,1144,30,460,19,1604,30,4,28,0,9,20,18,21,11,1,1,4,0,2,Colts,85,-3,6,1,0.33,,,
1281491,758644749,Magtus,Commanders,WAS,Washington,NFC,16,NFC East,2,25,Commanders,0,83,5903380,16758290,NHLPro234258,0,0,2,2025,750649344,1,0,5,280400000,20720000,259680000,1903,28,433,8,2336,24,753795076,1,NFC East,0,3,2,0,3,51,2269,1,449,21,2718,5,14,7,1,27,25,33,6,2,1,1,2,0,5,Commanders,83,8,6,1,0.71,,,
1281488,758644750,Magtus,Cowboys,DAL,Dallas,NFC,11,NFC East,4,10,Cowboys,6,84,798338,11581372,ALiLLucky21,4,0,0,2025,750649344,5,0,0,280400000,28000000,252400000,1820,24,592,26,2412,28,753795076,2,NFC East,0,0,2,0,0,-53,1724,10,400,27,2124,13,30,13,0,10,37,28,31,15,1,1,6,0,0,Cowboys,84,-5,6,250,0.00,,,
1281472,758644751,Magtus,Dolphins,MIA,Miami,AFC,14,AFC East,4,11,Phins,1,86,36503,16534530,BigDaddyCool78,4,0,0,2025,749207552,4,0,1,280400000,13700000,266700000,1693,19,633,27,2326,23,753795072,4,AFC East,0,0,2,0,1,-208,879,32,300,31,1179,32,31,32,0,22,38,8,30,16,1,1,6,0,1,Dolphins,86,-18,6,254,0.14,,,
1281489,758644752,Magtus,Eagles,PHI,Philadelphia,NFC,13,NFC East,4,12,Eagles,6,85,18513,10660525,zocs325,1,0,1,2025,750649344,3,0,3,280400000,9900000,270500000,1480,12,649,29,2129,19,753795076,3,NFC East,0,1,2,0,3,24,1688,12,410,24,2098,16,3,23,1,29,19,22,13,6,1,1,3,0,4,Eagles,85,-2,6,255,0.57,,,
1281484,758644753,Magtus,Falcons,ATL,Atlanta,NFC,11,NFC South,1,13,Falcons,3,86,10685741,0,n8faz,0,0,2,2025,750649344,1,0,3,280400000,5390000,275010000,1291,5,381,6,1672,3,753795078,0,NFC South,0,2,2,0,2,51,1503,20,516,13,2019,19,5,12,1,15,20,29,9,3,1,1,2,0,4,Falcons,86,-1,6,1,0.67,,,
1281490,758644755,Magtus,Giants,NYG,New York,NFC,19,NFC East,1,15,G-Men,2,86,74578,10685741,SpartanStorm117,0,0,4,2025,750649344,1,0,3,280400000,27130000,253270000,1993,31,446,9,2439,30,753795076,1,NFC East,0,3,2,0,0,0,1593,16,648,6,2241,11,25,9,1,11,31,31,8,5,1,1,2,0,4,Giants,86,0,6,2,0.67,,,
1281468,758644757,Magtus,Jaguars,JAX,Jacksonville,AFC,17,AFC South,2,16,Jags,9,86,25974,0,Z00ropa,1,0,3,2025,749207552,2,0,4,280400000,52040000,228360000,1990,30,563,24,2553,31,753795074,1,AFC South,0,2,1,0,2,41,2109,3,611,8,2720,3,15,8,1,4,25,31,7,4,1,1,2,0,5,Jaguars,86,-2,6,255,0.71,,,
1281473,758644758,Magtus,Jets,NYJ,New York,AFC,19,AFC East,1,17,Jets,7,87,1136448,16777215,kamranH5216,1,0,1,2025,749207552,2,0,3,280400000,57900000,222500000,1229,3,396,7,1625,2,753795072,2,AFC East,0,1,1,0,3,-6,1317,26,296,32,1613,28,6,26,1,23,21,20,10,6,1,1,2,0,4,Jets,87,1,6,255,0.67,,,
1281480,758644759,Magtus,Lions,DET,Detroit,NFC,17,NFC North,0,18,Lions,2,84,30390,11581372,madmike08,2,0,2,2025,750649344,1,0,2,280400000,45530000,234870000,1965,29,376,5,2341,25,753795077,0,NFC North,0,1,2,0,0,-75,2003,6,303,30,2306,10,32,16,0,17,39,27,22,11,1,1,4,0,2,Lions,84,-11,6,253,0.33,,,
1281481,758644761,Magtus,Packers,GB,Green Bay,NFC,11,NFC North,3,19,Pack,2,87,1846565,15641886,MesaBoogieMan24,1,0,1,2025,750649344,3,0,3,280400000,54400000,226000000,1737,21,531,19,2268,22,753795077,1,NFC North,0,1,2,0,3,5,1642,13,688,3,2330,9,9,20,1,18,22,23,14,4,1,1,3,0,4,Packers,87,6,6,2,0.57,,,
1281485,758644762,Magtus,Panthers,CAR,Carolina,NFC,11,NFC South,1,20,Panthers,0,87,34255,11711675,CarvalhoRedd,2,0,1,2025,750649344,2,0,2,280400000,111570000,168830000,1355,9,502,15,1857,6,753795078,0,NFC South,0,0,2,0,1,-24,1252,28,353,29,1605,29,7,31,0,21,21,17,23,12,1,1,4,0,2,Panthers,87,2,6,252,0.33,,,
1281474,758644763,Magtus,Patriots,NE,New England,AFC,11,AFC East,3,21,Pats,1,81,795456,13111342,BeefSwangin,0,0,3,2025,749207552,0,0,2,280400000,30690000,249710000,1431,11,478,12,1909,10,753795072,0,AFC East,0,1,0,0,3,65,1612,15,515,14,2127,12,16,4,1,19,25,36,1,1,1,1,0,0,6,Patriots,81,0,6,6,1.00,,,
1281476,758644764,Magtus,Raiders,LV,Las Vegas,AFC,14,AFC West,3,22,Raiders,6,83,10923696,0,MrAdversity57,2,0,2,2025,749207552,2,0,2,280400000,71650000,208750000,1863,25,258,1,2121,18,753795075,1,AFC West,0,0,0,0,2,28,2061,4,417,23,2478,6,24,5,1,6,30,35,11,7,1,1,2,0,4,Raiders,83,-1,6,2,0.67,,,
1281493,758644765,Magtus,Rams,LAR,Los Angeles,NFC,13,NFC West,0,23,Rams,0,80,13716,16765184,harryfogel25,3,0,0,2025,750649344,4,0,2,280400000,89240000,191160000,1875,26,539,22,2414,29,753795079,3,NFC West,0,1,2,0,2,-25,1710,11,407,25,2117,14,19,22,0,3,26,22,27,13,1,1,5,0,2,Rams,80,0,6,255,0.29,,,
1281464,758644766,Magtus,Ravens,BAL,Baltimore,AFC,11,AFC North,2,24,Ravens,6,87,2364255,0,AYOS0N,0,0,4,2025,749207552,1,0,3,280400000,25570000,254830000,2215,32,531,20,2746,32,753795073,1,AFC North,0,2,1,0,1,69,1817,9,519,12,2336,8,21,1,1,8,29,41,5,3,1,1,1,0,5,Ravens,87,16,6,1,0.83,,,
1281486,758644767,Magtus,Saints,NO,New Orleans,NFC,11,NFC South,3,26,Saints,0,83,13876365,0,Basso24_,1,0,3,2025,750649344,2,0,3,280400000,13480000,266920000,1391,10,581,25,1972,11,753795078,1,NFC South,0,1,2,0,0,-10,1424,24,523,11,1947,23,22,15,0,12,29,27,17,8,1,1,3,0,3,Saints,83,3,6,255,0.50,,,
1281494,758644768,Magtus,Seahawks,SEA,Seattle,NFC,14,NFC West,1,27,Seahawks,6,81,5426,6929960,IamDouG777,0,0,4,2025,750649344,1,0,5,280400000,30150000,250250000,1721,20,339,3,2060,14,753795079,1,NFC West,0,3,1,0,2,100,2171,2,684,4,2855,1,12,2,1,2,24,38,2,1,1,1,1,0,6,Seahawks,81,3,6,3,0.86,,,
1281465,758644769,Magtus,Steelers,PIT,Pittsburgh,AFC,15,AFC North,1,28,Steelers,8,85,15641886,0,Hadcore Sloth,1,0,1,2025,749207552,2,0,1,280400000,5330000,275070000,1531,13,701,32,2232,20,753795073,1,AFC North,0,1,3,0,1,-15,1625,14,453,20,2078,18,28,11,0,25,32,29,24,12,1,1,4,0,2,Steelers,85,1,6,2,0.33,,,
1281470,758644770,Magtus,Texans,HOU,Houston,AFC,11,AFC South,3,31,Texans,6,84,5183,12849712,BullsNation3682,3,0,1,2025,749207552,4,0,1,280400000,74100000,206300000,1753,23,635,28,2388,27,753795074,2,AFC South,0,0,2,0,0,-70,1422,25,406,26,1828,25,26,27,0,5,31,19,28,15,1,1,5,0,1,Texans,84,0,6,252,0.17,,,
1281469,758644771,Magtus,Titans,TEN,Tennessee,AFC,13,AFC South,1,29,Titans,2,81,4494802,5426,WildHawk307,2,0,1,2025,749207552,3,0,2,280400000,93500000,186900000,1326,7,505,16,1831,5,753795074,2,AFC South,0,1,1,0,2,-27,1511,18,485,17,1996,20,17,25,0,30,25,20,15,9,1,1,3,0,3,Titans,81,-4,6,254,0.50,,,
1281482,758644772,Magtus,Vikings,MIN,Minnesota,NFC,11,NFC North,0,30,Vikes,2,85,5187203,16762415,VotiveWord57113,2,0,1,2025,750649344,0,0,2,280400000,41860000,238540000,1348,8,516,18,1864,7,753795077,0,NFC North,0,2,1,0,2,10,1522,17,564,10,2086,17,8,19,0,26,21,23,19,9,1,1,3,0,3,Vikings,85,-11,6,254,0.50,,,
